Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Watch Time,Time Keeping,120559,POINT,1.416,1.416,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,START/STOP,Time Keeping,,STATE,9.914,1217.009,1207.095,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,29.658,29.658,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,30.414,30.414,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,40.413,40.413,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,41.912,41.912,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,42.911,42.911,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,43.914,43.914,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,47.914,47.914,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,Feces|None|None,POINT,72.413,72.413,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,79.411,79.411,NA,,
IV_Sctaeniopterus_TP_2021-06-10_122626,2025-07-03 13:16:16,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_122626_001.MP4,1220.810,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,79.911,79.911,NA,,
