Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Watch Time,Time Keeping,114203,POINT,2.163,2.163,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,START/STOP,Time Keeping,,STATE,11.914,1207.092,1195.178,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,12.664,12.664,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,13.164,13.164,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,13.914,13.914,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,15.914,15.914,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,16.665,16.665,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.164,17.164,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.166,18.166,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,19.915,19.915,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.665,20.665,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.164,21.164,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.664,21.664,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.414,22.414,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.415,23.415,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,24.415,24.415,NA,,
IV_Sctaeniopterus_TP_2021-06-10_120220,2025-07-03 12:29:37,,/Users/ally/Documents/johnson lab/parrotfish bites/IV_Sctaeniopterus_TP_2021-06-10_120220_001.MP4,1212.930,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,25.665,25.665,NA,,
