Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Watch Time,Time Keeping,104903,POINT,0.912,0.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,START/STOP,Time Keeping,,STATE,7.656,1190.541,1182.885,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Defecation,Defecation,,POINT,14.158,14.158,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,26.410,26.410,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,42.412,42.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,43.158,43.158,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,43.912,43.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,44.411,44.411,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,45.159,45.159,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,45.660,45.660,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_110902,2025-06-17 13:29:27,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_110902_001.MP4,1193.160,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,46.912,46.912,NA,,
