Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Watch Time,Time Keeping,110431,POINT,1.159,1.159,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,START/STOP,Time Keeping,,STATE,6.914,1069.423,1062.509,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.911,18.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.911,22.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.911,23.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,25.412,25.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,27.434,27.434,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,28.428,28.428,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,30.934,30.934,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,37.933,37.933,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,38.432,38.432,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_112229,2025-06-28 16:01:12,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_112229_001.MP4,1073.220,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,38.933,38.933,NA,,
