Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Watch Time,Time Keeping,104047,POINT,2.663,2.663,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,START/STOP,Time Keeping,,STATE,6.913,1158.219,1151.306,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,7.657,7.657,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,8.657,8.657,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,9.906,9.906,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,10.657,10.657,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,13.913,13.913,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,14.912,14.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,15.411,15.411,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,16.911,16.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.912,17.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.912,18.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-17_110014,2025-06-23 18:05:35,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-17_110014_001.MP4,1162.090,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.411,20.411,NA,,
