Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Watch Time,Time Keeping,111412,POINT,7.413,7.413,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,START/STOP,Time Keeping,,STATE,8.412,1273.131,1264.719,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.913,18.913,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.911,20.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.412,21.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.911,21.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.412,22.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.161,23.161,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.913,23.913,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,24.412,24.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,25.414,25.414,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,25.912,25.912,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,26.913,26.913,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,27.913,27.913,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,28.91,28.91,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,29.911,29.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_113532,6/19/2025 17:08,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_113532_001.MP4,1277.51,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,30.412,30.412,NA,,
