Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Watch Time,Time Keeping,145921,POINT,0,0,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,START/STOP,Time Keeping,,STATE,4.909,1211.708,1206.799,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,7.162,7.162,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,7.663,7.663,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,8.161,8.161,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,9.915,9.915,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,10.41,10.41,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,11.415,11.415,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,12.915,12.915,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,13.41,13.41,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,14.414,14.414,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,31.917,31.917,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,32.917,32.917,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,54.913,54.913,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,57.412,57.412,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,58.415,58.415,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,59.415,59.415,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,60.915,60.915,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,61.414,61.414,NA,,
IV_Sctaeniopterus_TP_2021-07-01_151944,6/25/2025 13:30,,/Users/aimeed/Desktop/BiteCounts/IV_Sctaeniopterus_TP_2021-07-01_151944_001.MP4,1215.9,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,75.915,75.915,NA,,
