Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Watch Time,Time Keeping,142854,POINT,0.454,0.454,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,START/STOP,Time Keeping,,STATE,9.668,1219.134,1209.466,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,16.423,16.423,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.921,17.921,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.917,18.917,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,19.266,19.266,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.025,20.025,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.432,21.432,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.241,22.241,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.671,22.671,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,23.663,23.663,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,24.015,24.015,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,24.765,24.765,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,25.516,25.516,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,26.664,26.664,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,27.031,27.031,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,28.168,28.168,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,28.929,28.929,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,31.167,31.167,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,31.524,31.524,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,32.262,32.262,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,32.756,32.756,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,34.015,34.015,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,35.182,35.182,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,52.921,52.921,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,54.414,54.414,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,54.747,54.747,NA,,
IV_Sctaeniopterus_TP_2021-06-10_144925,6/20/2025 9:19,,/Volumes/Pillar/Manning_Bonaire2021_FishFollows/IV/Sctaeniopterus/IV_Sctaeniopterus_TP_2021-06-10_144925_001.MP4,1224.53,23.98,No focal subject,Bite,Foraging,Feces|None|None,POINT,81.663,81.663,NA,,
