Site,Species,Phase,Date,End,SL,Harem
IV,Spviride,IP,6/23/2021,151153.gpx,22,
IV,Spviride,IP,6/25/2021,111323.gpx,21,
IV,Spviride,IP,6/26/2021,120051.gpx,24,
IV,Spviride,NTP,5/22/2021,103901.gpx,27,
IV,Spviride,NTP,7/20/2021,121141.gpx,27,
IV,Spviride,TP,5/22/2021,111618.gpx,29,7
IV,Spviride,TP,5/22/2021,124441.gpx,29,8
IV,Spviride,TP,5/22/2021,131731.gpx,31,5
IV,Spviride,TP,5/22/2021,132756.gpx,32,
IV,Spviride,TP,5/22/2021,151225.gpx,32,7
IV,Spviride,TP,5/22/2021,154844.gpx,30,5
IV,Spviride,TP,5/24/2021,111941.gpx,32,3
IV,Spviride,TP,5/24/2021,115526.gpx,30,5
IV,Spviride,TP,5/24/2021,134809.gpx,32,4
IV,Spviride,TP,5/24/2021,142349.gpx,29.5,5
IV,Spviride,TP,7/18/2021,124216.gpx,30,3
IV,Spviride,TP,7/18/2021,130653.gpx,30,3
IV,Spviride,TP,7/18/2021,133241.gpx,31,3
IV,Spviride,TP,7/20/2021,114656.gpx,31,6
IV,Spviride,TP,7/20/2021,123730.gpx,30,3
IV,Spviride,TP,7/20/2021,130752.gpx,30,5
IV,Spviride,TP,7/20/2021,145220.gpx,29,8
