"ID","lon","lat","ele","time"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.286122689,12.0978006721,"51.09","2021-05-29T18:40:18Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861353457,12.0977906138,"50.61","2021-05-29T18:40:32Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861318253,12.0977958944,"50.13","2021-05-29T18:40:44Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861362677,12.0977998339,"49.16","2021-05-29T18:40:56Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861412968,12.0978005882,"48.68","2021-05-29T18:41:07Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861344237,12.0977918711,"48.68","2021-05-29T18:41:16Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861362677,12.0977974869,"48.20","2021-05-29T18:41:27Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.286136603,12.0977991633,"50.13","2021-05-29T18:41:30Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861223537,12.0977895241,"51.09","2021-05-29T18:41:43Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861379441,12.0978249796,"49.65","2021-05-29T18:41:56Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861370221,12.0978458505,"46.76","2021-05-29T18:42:09Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861323282,12.0978378877,"45.32","2021-05-29T18:42:22Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861213479,12.0978480298,"44.84","2021-05-29T18:42:35Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.28613149,12.0978660509,"44.36","2021-05-29T18:42:48Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861455716,12.0978661347,"44.84","2021-05-29T18:43:03Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861511875,12.0978726726,"43.88","2021-05-29T18:43:17Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861726452,12.0978599321,"43.88","2021-05-29T18:43:31Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861834578,12.0978513826,"42.92","2021-05-29T18:43:45Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861571386,12.0978430845,"42.44","2021-05-29T18:43:59Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861566357,12.0978468563,"42.44","2021-05-29T18:44:14Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861059252,12.0978405699,"40.99","2021-05-29T18:44:23Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860506885,12.0978466887,"43.40","2021-05-29T18:44:37Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860498503,12.0978450961,"42.92","2021-05-29T18:44:49Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860517781,12.0978422463,"42.44","2021-05-29T18:45:02Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860816177,12.0978439227,"40.03","2021-05-29T18:45:14Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861183304,12.0978396479,"38.59","2021-05-29T18:45:26Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861308195,12.0978072938,"37.63","2021-05-29T18:45:41Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861295622,12.0977919549,"38.59","2021-05-29T18:45:56Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861419674,12.0977882668,"38.59","2021-05-29T18:46:11Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861249521,12.0977814775,"37.63","2021-05-29T18:46:24Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861195039,12.097804863,"36.67","2021-05-29T18:46:38Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861230243,12.0978179388,"36.67","2021-05-29T18:46:52Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861203421,12.0978286676,"37.63","2021-05-29T18:47:02Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861371897,12.0978566632,"38.59","2021-05-29T18:47:19Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861340046,12.0978621114,"37.63","2021-05-29T18:47:35Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861583121,12.0978834014,"37.15","2021-05-29T18:47:53Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861880679,12.0979130734,"37.15","2021-05-29T18:48:10Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861849666,12.0979228802,"34.74","2021-05-29T18:48:23Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861973718,12.0979122352,"35.23","2021-05-29T18:48:35Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862149738,12.0978834853,"35.71","2021-05-29T18:48:49Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862114534,12.0978791267,"37.15","2021-05-29T18:48:53Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862192485,12.0978745166,"36.19","2021-05-29T18:49:08Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862318214,12.0978486165,"35.23","2021-05-29T18:49:22Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862063404,12.0978282485,"34.74","2021-05-29T18:49:37Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2862075139,12.0978184417,"36.67","2021-05-29T18:49:51Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861591503,12.097809054,"35.71","2021-05-29T18:50:04Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861438952,12.0978140831,"35.23","2021-05-29T18:50:17Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861204259,12.0977963973,"35.23","2021-05-29T18:50:29Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861197554,12.0978045277,"34.74","2021-05-29T18:50:42Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861216832,12.0978140831,"34.26","2021-05-29T18:50:55Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861167379,12.0978181902,"34.74","2021-05-29T18:51:09Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860843837,12.0978162624,"28.98","2021-05-29T18:51:17Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860770077,12.097810898,"32.82","2021-05-29T18:51:19Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860661112,12.0978068747,"35.71","2021-05-29T18:51:23Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.28607223,12.0978148375,"37.15","2021-05-29T18:51:35Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860946935,12.0978246443,"34.74","2021-05-29T18:51:47Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.286106009,12.0978477784,"36.67","2021-05-29T18:52:00Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860972919,12.0978751034,"38.59","2021-05-29T18:52:13Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2860920951,12.0978730079,"38.11","2021-05-29T18:52:25Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861060929,12.09786647,"35.71","2021-05-29T18:52:40Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861039136,12.0978699066,"34.74","2021-05-29T18:52:53Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861160673,12.0979108103,"34.74","2021-05-29T18:53:06Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861420512,12.0978958067,"32.34","2021-05-29T18:53:17Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861610781,12.0978722535,"31.86","2021-05-29T18:53:29Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861449011,12.097858591,"29.46","2021-05-29T18:53:40Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861468289,12.0978565793,"29.46","2021-05-29T18:53:41Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.286151858,12.0978253148,"31.38","2021-05-29T18:53:53Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861325797,12.09779053,"31.86","2021-05-29T18:54:05Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861349266,12.0977967326,"34.26","2021-05-29T18:54:17Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861350942,12.0977948047,"38.11","2021-05-29T18:54:24Z"
"DI_01_AQ_Scvetula_TP_Spviride_TP_2021-05-29_150324.gpx",-68.2861390337,12.0977969002,"34.26","2021-05-29T18:54:28Z"
