"ID","lon","lat","ele","time"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861725613,12.0976907853,"3.02","2021-07-05T14:54:11Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861742377,12.0976930484,"3.02","2021-07-05T14:54:12Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861755788,12.0976982452,"2.54","2021-07-05T14:54:20Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861790992,12.0976901986,"3.02","2021-07-05T14:54:28Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861789316,12.097692797,"-0.82","2021-07-05T14:54:30Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861794345,12.0977141708,"-2.27","2021-07-05T14:54:37Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861896604,12.0977009274,"-1.30","2021-07-05T14:54:46Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2862047479,12.0976826549,"-0.34","2021-07-05T14:54:54Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861924265,12.0976636279,"-1.30","2021-07-05T14:55:05Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861850504,12.0976661425,"-0.82","2021-07-05T14:55:16Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861818653,12.0976660587,"-0.82","2021-07-05T14:55:26Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.286173651,12.0976581797,"-0.34","2021-07-05T14:55:34Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861674484,12.0976562519,"-2.27","2021-07-05T14:55:43Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861692924,12.0976569224,"-2.75","2021-07-05T14:55:44Z"
"AQ_Sciseri_IP_2021-07-05_111446.gpx",-68.2861737348,12.0976489596,"-1.30","2021-07-05T14:55:56Z"
