"Site","Species","Phase","Date","End","MKDE95","MKDE50","SL","Harem","mass"
"IV","Sciseri","TP","2021-06-23","134620.gpx",402.060387387801,120.523956875032,18,6,65.7931673849546
"IV","Sctaeniopterus","IP","2021-06-30","114026.gpx",161.954067050824,30.1309892187579,17,NA,66.3255
"IV","Sctaeniopterus","IP","2021-06-30","120613.gpx",76.2690664599809,16.9486814355513,14,NA,37.044
"IV","Sctaeniopterus","IP","2021-06-30","121436.gpx",230.690386206115,49.9044508935678,18,NA,78.732
"IV","Sctaeniopterus","IP","2021-06-30","123832.gpx",63.0867586767744,15.065494609379,16,NA,55.296
"IV","Sctaeniopterus","IP","2021-06-30","140130.gpx",194.90983650884,50.846044306654,17,NA,66.3255
"IV","Sctaeniopterus","IP","2021-06-30","142706.gpx",123.34873711429,32.9557694580165,15,NA,45.5625
"IV","Sctaeniopterus","TP","2021-06-10","111339.gpx",93.2177478955323,22.5982419140684,19,2,92.5965
"IV","Sctaeniopterus","TP","2021-06-10","113726.gpx",159.129286811565,40.4885167627059,22,3,143.748
"IV","Sctaeniopterus","TP","2021-06-10","120220.gpx",96.984121547877,27.3062089794994,21,3,125.0235
"IV","Sctaeniopterus","TP","2021-06-10","122626.gpx",131.823077832066,34.8389562841888,22,3,143.748
"IV","Sctaeniopterus","TP","2021-06-10","142524.gpx",200.559396987357,50.846044306654,21,3,125.0235
"IV","Sctaeniopterus","TP","2021-06-10","144925.gpx",114.874396396515,32.0141760449303,20,3,108
"IV","Sctaeniopterus","TP","2021-06-10","151516.gpx",96.0425281347908,23.5398353271546,20,3,108
"IV","Sctaeniopterus","TP","2021-06-12","111439.gpx",118.640770048859,27.3062089794994,20,2,108
"IV","Sctaeniopterus","TP","2021-06-12","113838.gpx",172.311594594772,56.4956047851711,20,2,108
"IV","Sctaeniopterus","TP","2021-06-12","120133.gpx",96.0425281347908,16.9486814355513,21,2,125.0235
"IV","Sctaeniopterus","TP","2021-06-12","122722.gpx",67.7947257422053,16.9486814355513,20,2,108
"IV","Sctaeniopterus","TP","2021-06-12","142944.gpx",70.6195059814638,16.9486814355513,21,2,125.0235
"IV","Sctaeniopterus","TP","2021-06-12","145254.gpx",144.063792202186,36.7221431103612,21,4,125.0235
"IV","Sctaeniopterus","TP","2021-06-12","151745.gpx",120.523956875032,32.9557694580165,21,4,125.0235
"IV","Sctaeniopterus","TP","2021-06-12","153219.gpx",143.1221987891,38.6053299365336,21,2,125.0235
"IV","Sctaeniopterus","TP","2021-07-01","154516.gpx",114.874396396515,30.1309892187579,19,4,92.5965
"IV","Scvetula","IP","2021-06-26","122514.gpx",209.975331118219,63.0867586767744,24,NA,219.739387422392
"IV","Scvetula","IP","2021-06-26","125820.gpx",155.36291315922,44.2548904150507,23,NA,193.153770465672
"IV","Scvetula","IP","2021-06-26","143112.gpx",133.706264658238,34.8389562841888,25,NA,248.671533964271
"IV","Scvetula","IP","2021-06-26","152418.gpx",197.734616748099,58.3787916113434,20,NA,126.470353933495
"IV","Scvetula","IP","2021-06-29","160115.gpx",160.070880224651,36.7221431103612,20,NA,126.470353933495
"IV","Scvetula","IP","2021-07-01","145337.gpx",256.113408359442,79.0938466992395,23,NA,193.153770465672
"IV","Scvetula","NTP","2021-06-06","142732.gpx",372.870991582129,95.1009347217046,29,NA,389.882534604984
"IV","Scvetula","TP","2021-06-06","105854.gpx",253.288628120184,52.7292311328263,30,2,432.06118147997
"IV","Scvetula","TP","2021-06-06","112656.gpx",277.770056860424,63.0867586767744,32,3,525.378482057391
"IV","Scvetula","TP","2021-06-06","115600.gpx",324.849727514734,96.0425281347908,31,2,477.192686938615
"IV","Scvetula","TP","2021-06-06","133559.gpx",391.702859843853,99.8089017871356,30,2,432.06118147997
"IV","Scvetula","TP","2021-06-06","140404.gpx",381.345332299905,110.166429331084,31,3,477.192686938615
"IV","Scvetula","TP","2021-06-06","155716.gpx",482.095827500127,133.706264658238,31,3,477.192686938615
"IV","Scvetula","TP","2021-06-09","110049.gpx",350.272749668061,112.049616157256,29,1,389.882534604984
"IV","Scvetula","TP","2021-06-09","112559.gpx",266.47093590339,67.7947257422053,32,2,525.378482057391
"IV","Scvetula","TP","2021-06-09","115351.gpx",197.734616748099,55.5540113720849,29,2,389.882534604984
"IV","Spaurofrenatum","IP","2021-06-29","125753.gpx",191.143462856495,54.6124179589987,14,NA,39.8399594222533
"IV","Spaurofrenatum","IP","2021-06-29","132156.gpx",105.458462265653,19.7734616748099,13,NA,30.8999380078434
"IV","Spaurofrenatum","IP","2021-06-29","134704.gpx",101.692088613308,22.5982419140684,14,NA,39.8399594222533
"IV","Spaurofrenatum","IP","2021-06-29","151119.gpx",131.823077832066,32.0141760449303,15,NA,50.4734255239625
"IV","Spaurofrenatum","IP","2021-06-29","153607.gpx",101.692088613308,16.9486814355513,14,NA,39.8399594222533
"IV","Spaurofrenatum","TP","2021-06-18","105832.gpx",197.734616748099,61.203571850602,17,3,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-18","112244.gpx",145.005385615272,39.5469233496198,18,3,94.3138064489334
"IV","Spaurofrenatum","TP","2021-06-18","114705.gpx",215.624891596736,63.0867586767744,16,4,62.9757391588502
"IV","Spaurofrenatum","TP","2021-06-18","121229.gpx",217.508078422909,71.56109939455,17,3,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-18","133435.gpx",151.596539506876,42.3717035888783,17,NA,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-18","135800.gpx",179.844341899461,58.3787916113434,17,3,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-18","142311.gpx",226.92401255377,30.1309892187579,17,3,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-18","144852.gpx",206.208957465874,59.3203850244296,16,2,62.9757391588502
"IV","Spaurofrenatum","TP","2021-06-19","110307.gpx",202.44258381353,58.3787916113434,17,2,77.5273973216834
"IV","Spaurofrenatum","TP","2021-06-19","112940.gpx",177.961155073289,43.3132970019645,16,4,62.9757391588502
"IV","Spviride","IP","2021-06-23","141226.gpx",384.170112539163,111.10802274417,20,NA,157.851468316996
"IV","Spviride","IP","2021-06-23","143721.gpx",81.9186269384981,16.9486814355513,23,NA,237.436246254306
"IV","Spviride","IP","2021-06-23","151153.gpx",113.932802983428,18.8318682617237,22,NA,208.524293939305
"IV","Spviride","IP","2021-06-25","111323.gpx",317.316980210044,91.3345610693599,21,NA,182.029832135356
"IV","Spviride","IP","2021-06-26","120051.gpx",227.865605966857,44.2548904150507,24,NA,268.866717902241
"IV","Spviride","NTP","2021-05-22","103901.gpx",435.016156845817,91.3345610693599,27,NA,379.274429514147
"IV","Spviride","NTP","2021-07-20","121141.gpx",66.8531323291191,16.0070880224651,27,NA,379.274429514147
"IV","Spviride","TP","2021-05-22","111618.gpx",584.729509526521,95.1009347217046,29,7,467.309446831428
"IV","Spviride","TP","2021-05-22","124441.gpx",391.702859843853,123.34873711429,30,6,515.954249463991
"IV","Spviride","TP","2021-05-22","131731.gpx",369.104617929784,116.757583222687,31,4,567.815856688414
"IV","Spviride","TP","2021-05-22","132756.gpx",332.382474819423,48.9628574804816,32,NA,622.992897327517
"IV","Spviride","TP","2021-05-22","151225.gpx",405.826761040146,95.1009347217046,31,5,567.815856688414
"IV","Spviride","TP","2021-05-22","154844.gpx",334.265661645596,103.57527543948,30,5,515.954249463991
"IV","Spviride","TP","2021-05-24","111941.gpx",360.630277212009,104.516868852566,32,5,622.992897327517
"IV","Spviride","TP","2021-05-24","115526.gpx",431.249783193473,78.1522532861533,31,5,567.815856688414
"IV","Spviride","TP","2021-05-24","134809.gpx",386.994892778422,68.7363191552915,32,4,622.992897327517
"IV","Spviride","TP","2021-05-24","142349.gpx",280.594837099683,59.3203850244296,30,5,515.954249463991
"IV","Spviride","TP","2021-07-18","124216.gpx",283.419617338942,62.1451652636882,30,6,515.954249463991
"IV","Spviride","TP","2021-07-18","130653.gpx",271.178902968821,48.0212640673954,30,3,515.954249463991
"IV","Spviride","TP","2021-07-18","133241.gpx",346.506376015716,98.8673083740494,31,4,567.815856688414
"IV","Spviride","TP","2021-07-20","114656.gpx",374.754178408301,107.341649091825,32,5,622.992897327517
"IV","Spviride","TP","2021-07-20","123730.gpx",262.704562251046,56.4956047851711,31,5,567.815856688414
"IV","Spviride","TP","2021-07-20","130752.gpx",414.301101757921,85.6850005908428,30,5,515.954249463991
"IV","Spviride","TP","2021-07-20","145220.gpx",595.087037070469,170.428407768599,29,8,467.309446831428
